test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,139,69.50,0,0,3,39,19,0,,31,22,11,6
multi_turn_miss_func,200,119,59.50,0,3,3,57,18,0,,70,41,4,5
multi_turn_miss_param,200,118,59.00,0,0,7,57,18,0,,71,41,3,8
multi_turn_long_context,200,119,59.50,0,0,6,51,24,0,,33,33,18,6
zh_multi_turn_base,200,34,17.00,0,19,2,88,57,0,,71,62,39,10
zh_multi_turn_miss_func,200,26,13.00,0,29,5,93,47,0,,141,86,2,15
zh_multi_turn_miss_param,200,28,14.00,0,20,5,98,49,0,,136,87,12,24
zh_multi_turn_long_context,200,24,12.00,0,18,5,98,55,0,,71,73,43,11

SUMMARY,1600,607,37.94,0,89,36,581,287,0,,624,445,132,85
