test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,22,11.00,0,57,14,63,44,0,,97,118,5,18
multi_turn_miss_func,200,14,7.00,0,64,15,81,26,0,,118,138,1,21
multi_turn_miss_param,200,15,7.50,0,55,14,81,35,0,,130,123,0,28
multi_turn_long_context,200,21,10.50,2,41,19,74,43,0,,108,119,5,20
zh_multi_turn_base,200,8,4.00,0,109,6,60,17,0,,65,143,6,14
zh_multi_turn_miss_func,200,2,1.00,0,134,3,46,15,0,,60,172,0,11
zh_multi_turn_miss_param,200,8,4.00,0,111,4,61,16,0,,79,148,0,19
zh_multi_turn_long_context,200,7,3.50,15,86,7,61,24,0,,71,144,5,18

SUMMARY,1600,97,6.06,17,657,82,527,220,0,,728,1105,22,149
