Rank,Model,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=markdown&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=experimental
1,Meta Llama 3.1-8B-Instruct LoRA ckpt1550-1epoch-all-zhtw-lr1e-5,79.0,33.85,43.00%,71.50%,57.00%,77.00%,73.00%,74.00%,0.00%,2.50%,0.00%,75.50%,69.50%,79.00%,1.00%,1.00%,8.50%,1.00%,0.00%,5.00%,1.00%,0.50%,3.00%,11.50%,9.50%,16.00%,72.50%,72.50%
2,Meta Llama 3.1-8B-Instruct LoRA ckpt4787-1epoch-all-zhtw-lr1e-5,78.5,33.75,33.50%,70.50%,47.00%,78.50%,75.00%,74.50%,0.00%,0.50%,0.00%,74.50%,71.00%,78.50%,4.50%,2.50%,12.50%,0.50%,0.00%,2.00%,2.00%,5.00%,10.50%,5.50%,5.50%,10.00%,73.50%,74.50%
3,Meta Llama 3.1-8B-Instruct LoRA ckpt4550-1epoch-all-zhtw-split-turn-lr1e-5,78.0,32.77,41.50%,65.50%,51.50%,77.50%,74.50%,74.00%,0.00%,2.00%,0.00%,72.50%,70.50%,78.00%,2.00%,1.00%,12.00%,2.50%,0.00%,5.50%,0.00%,0.50%,3.00%,17.50%,22.00%,29.50%,72.50%,74.00%
4,Meta Llama 3.1-8B-Instruct LoRA ckpt3100-1epoch-all-zhtw-lr1e-5,78.0,33.57,34.50%,69.50%,50.00%,78.00%,74.50%,74.00%,0.00%,0.50%,0.00%,73.00%,71.50%,77.50%,4.00%,1.00%,11.50%,0.50%,0.00%,2.50%,2.00%,4.00%,9.50%,5.50%,6.50%,12.50%,73.50%,73.50%
5,Meta Llama 3.1-8B-Instruct LoRA ckpt450-1epoch-pythonic-zhtw-lr5e-7,78.0,29.94,32.50%,70.50%,61.50%,74.00%,72.50%,78.00%,0.00%,33.50%,2.50%,70.50%,72.00%,75.00%,7.00%,3.00%,6.00%,45.50%,20.50%,54.50%,4.50%,7.00%,7.00%,38.00%,62.00%,61.00%,77.00%,76.00%
6,Meta Llama 3.1-8B-Instruct LoRA ckpt1448-1epoch-pythonic-zhtw-lr5e-7,77.5,30.49,20.00%,62.50%,53.00%,71.50%,73.50%,78.00%,1.50%,29.00%,6.50%,71.50%,72.00%,73.50%,4.50%,0.50%,3.00%,39.00%,13.00%,50.00%,2.50%,1.50%,5.50%,41.00%,61.00%,62.50%,78.00%,75.50%
7,Meta Llama 3.1-8B-Instruct LoRA ckpt900-1epoch-pythonic-zhtw-lr5e-7,77.0,30.75,21.50%,66.50%,53.50%,73.00%,74.00%,78.00%,1.00%,31.00%,5.50%,71.50%,72.00%,75.50%,6.00%,1.00%,2.50%,42.50%,17.00%,53.00%,2.50%,2.00%,3.50%,39.00%,62.00%,63.00%,78.00%,75.50%
8,Meta Llama 3.1-8B-Instruct LoRA ckpt2275-1epoch-all-zhtw-split-turn-lr5e-7,76.5,32.72,3.00%,42.00%,8.00%,74.00%,72.50%,75.00%,0.00%,2.50%,0.50%,73.00%,71.50%,76.50%,0.00%,0.00%,0.00%,8.50%,0.00%,11.50%,0.00%,0.00%,0.00%,16.00%,25.00%,39.50%,75.00%,74.50%
9,Meta Llama 3.1-8B-Instruct LoRA ckpt2275-1epoch-all-zhtw-split-turn-lr1e-5,76.5,32.92,13.50%,60.50%,29.50%,76.50%,75.50%,74.00%,0.00%,0.00%,0.00%,70.00%,71.50%,76.50%,0.00%,0.00%,2.50%,0.00%,0.50%,6.50%,0.00%,0.00%,0.50%,20.50%,25.00%,31.50%,74.00%,74.00%
10,Meta Llama 3.1-8B-Instruct LoRA ckpt4787-1epoch-all-zhtw-lr5e-7,76.0,32.38,12.00%,57.50%,36.00%,71.50%,71.00%,72.50%,0.00%,3.50%,0.50%,72.00%,72.50%,76.00%,0.00%,0.00%,0.00%,6.00%,0.00%,8.00%,0.00%,0.00%,0.00%,13.50%,15.00%,29.50%,74.00%,74.00%
