test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,32,16.00,1,3,1,103,60,0,,33,109,26,28
multi_turn_miss_func,200,29,14.50,1,7,1,115,47,0,,163,129,0,24
multi_turn_miss_param,200,22,11.00,0,3,0,114,61,0,,169,122,2,49
multi_turn_long_context,200,16,8.00,38,3,2,88,53,0,,31,137,19,25
zh_multi_turn_base,200,10,5.00,0,11,4,105,70,0,,28,130,24,36
zh_multi_turn_miss_func,200,8,4.00,0,11,9,108,64,0,,161,158,3,29
zh_multi_turn_miss_param,200,8,4.00,0,11,14,101,66,0,,153,152,4,50
zh_multi_turn_long_context,200,5,2.50,32,3,3,94,63,0,,25,155,14,33

SUMMARY,1600,130,8.12,72,52,34,828,484,0,,763,1092,92,274
