test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,44,22.00,1,4,3,92,56,0,,71,86,20,21
multi_turn_miss_func,200,28,14.00,1,15,13,106,37,0,,148,125,2,24
multi_turn_miss_param,200,33,16.50,0,6,10,107,44,0,,138,110,6,32
multi_turn_long_context,200,29,14.50,35,1,2,82,51,0,,72,112,8,20
zh_multi_turn_base,200,16,8.00,0,11,8,104,61,0,,46,131,16,43
zh_multi_turn_miss_func,200,8,4.00,1,15,46,83,47,0,,165,161,2,35
zh_multi_turn_miss_param,200,13,6.50,0,12,22,99,54,0,,136,148,5,43
zh_multi_turn_long_context,200,4,2.00,32,3,7,101,53,0,,46,148,16,30

SUMMARY,1600,175,10.94,70,67,111,774,403,0,,822,1021,75,248
